,Time Period,File Start Date,Total Time Difference (Minutes),Datetime
732,17:00 - 18:00,2022-04-21,195.63333333333333,2022-04-21 17:00:00
914,18:00 - 19:00,2022-04-21,67.43333333333334,2022-04-21 18:00:00
420,15:00 - 16:00,2022-04-22,0.48333333333333334,2022-04-22 15:00:00
530,16:00 - 17:00,2022-04-22,67.68333333333334,2022-04-22 16:00:00
733,17:00 - 18:00,2022-04-22,44.66666666666667,2022-04-22 17:00:00
531,16:00 - 17:00,2022-04-25,87.5,2022-04-25 16:00:00
734,17:00 - 18:00,2022-04-25,109.28333333333333,2022-04-25 17:00:00
915,18:00 - 19:00,2022-04-25,9.616666666666667,2022-04-25 18:00:00
19,07:00 - 08:00,2022-04-26,7.566666666666666,2022-04-26 07:00:00
127,08:00 - 09:00,2022-04-26,12.2,2022-04-26 08:00:00
294,10:00 - 11:00,2022-04-26,5.1,2022-04-26 10:00:00
421,15:00 - 16:00,2022-04-26,3.5166666666666666,2022-04-26 15:00:00
532,16:00 - 17:00,2022-04-26,51.333333333333336,2022-04-26 16:00:00
735,17:00 - 18:00,2022-04-26,96.95,2022-04-26 17:00:00
916,18:00 - 19:00,2022-04-26,22.65,2022-04-26 18:00:00
533,16:00 - 17:00,2022-04-28,64.81666666666666,2022-04-28 16:00:00
736,17:00 - 18:00,2022-04-28,65.3,2022-04-28 17:00:00
917,18:00 - 19:00,2022-04-28,8.0,2022-04-28 18:00:00
128,08:00 - 09:00,2022-05-03,20.116666666666667,2022-05-03 08:00:00
233,09:00 - 10:00,2022-05-03,41.86666666666667,2022-05-03 09:00:00
534,16:00 - 17:00,2022-05-03,36.13333333333333,2022-05-03 16:00:00
737,17:00 - 18:00,2022-05-03,16.25,2022-05-03 17:00:00
422,15:00 - 16:00,2022-05-04,1.55,2022-05-04 15:00:00
535,16:00 - 17:00,2022-05-04,50.16666666666667,2022-05-04 16:00:00
738,17:00 - 18:00,2022-05-04,80.25,2022-05-04 17:00:00
536,16:00 - 17:00,2022-05-05,18.133333333333333,2022-05-05 16:00:00
337,13:00 - 14:00,2022-05-06,0.5333333333333333,2022-05-06 13:00:00
370,14:00 - 15:00,2022-05-06,35.733333333333334,2022-05-06 14:00:00
423,15:00 - 16:00,2022-05-06,56.81666666666667,2022-05-06 15:00:00
537,16:00 - 17:00,2022-05-06,55.266666666666666,2022-05-06 16:00:00
739,17:00 - 18:00,2022-05-06,77.61666666666666,2022-05-06 17:00:00
918,18:00 - 19:00,2022-05-06,81.96666666666667,2022-05-06 18:00:00
1031,19:00 - 20:00,2022-05-06,4.0,2022-05-06 19:00:00
20,07:00 - 08:00,2022-05-09,18.766666666666666,2022-05-09 07:00:00
129,08:00 - 09:00,2022-05-09,32.35,2022-05-09 08:00:00
538,16:00 - 17:00,2022-05-09,20.71666666666667,2022-05-09 16:00:00
740,17:00 - 18:00,2022-05-09,62.166666666666664,2022-05-09 17:00:00
919,18:00 - 19:00,2022-05-09,4.066666666666666,2022-05-09 18:00:00
21,07:00 - 08:00,2022-05-10,31.866666666666667,2022-05-10 07:00:00
130,08:00 - 09:00,2022-05-10,156.1,2022-05-10 08:00:00
234,09:00 - 10:00,2022-05-10,16.0,2022-05-10 09:00:00
539,16:00 - 17:00,2022-05-10,25.650000000000002,2022-05-10 16:00:00
741,17:00 - 18:00,2022-05-10,122.6,2022-05-10 17:00:00
920,18:00 - 19:00,2022-05-10,23.116666666666667,2022-05-10 18:00:00
22,07:00 - 08:00,2022-05-11,8.6,2022-05-11 07:00:00
131,08:00 - 09:00,2022-05-11,1.5666666666666667,2022-05-11 08:00:00
322,12:00 - 13:00,2022-05-11,40.55,2022-05-11 12:00:00
338,13:00 - 14:00,2022-05-11,7.316666666666666,2022-05-11 13:00:00
540,16:00 - 17:00,2022-05-11,24.133333333333333,2022-05-11 16:00:00
742,17:00 - 18:00,2022-05-11,98.9,2022-05-11 17:00:00
921,18:00 - 19:00,2022-05-11,29.56666666666667,2022-05-11 18:00:00
23,07:00 - 08:00,2022-05-12,23.283333333333335,2022-05-12 07:00:00
132,08:00 - 09:00,2022-05-12,105.14999999999999,2022-05-12 08:00:00
235,09:00 - 10:00,2022-05-12,37.900000000000006,2022-05-12 09:00:00
371,14:00 - 15:00,2022-05-12,35.53333333333333,2022-05-12 14:00:00
424,15:00 - 16:00,2022-05-12,20.833333333333332,2022-05-12 15:00:00
541,16:00 - 17:00,2022-05-12,33.38333333333333,2022-05-12 16:00:00
743,17:00 - 18:00,2022-05-12,128.53333333333333,2022-05-12 17:00:00
922,18:00 - 19:00,2022-05-12,42.88333333333333,2022-05-12 18:00:00
339,13:00 - 14:00,2022-05-13,17.666666666666668,2022-05-13 13:00:00
372,14:00 - 15:00,2022-05-13,10.55,2022-05-13 14:00:00
542,16:00 - 17:00,2022-05-13,24.200000000000003,2022-05-13 16:00:00
744,17:00 - 18:00,2022-05-13,78.6,2022-05-13 17:00:00
923,18:00 - 19:00,2022-05-13,4.199999999999999,2022-05-13 18:00:00
1032,19:00 - 20:00,2022-05-13,10.566666666666666,2022-05-13 19:00:00
1048,20:00 - 21:00,2022-05-13,23.566666666666666,2022-05-13 20:00:00
24,07:00 - 08:00,2022-05-16,48.15,2022-05-16 07:00:00
133,08:00 - 09:00,2022-05-16,97.25,2022-05-16 08:00:00
543,16:00 - 17:00,2022-05-16,19.516666666666666,2022-05-16 16:00:00
745,17:00 - 18:00,2022-05-16,82.58333333333334,2022-05-16 17:00:00
25,07:00 - 08:00,2022-05-17,38.8,2022-05-17 07:00:00
134,08:00 - 09:00,2022-05-17,133.5,2022-05-17 08:00:00
236,09:00 - 10:00,2022-05-17,16.616666666666667,2022-05-17 09:00:00
544,16:00 - 17:00,2022-05-17,73.33333333333334,2022-05-17 16:00:00
746,17:00 - 18:00,2022-05-17,208.45,2022-05-17 17:00:00
924,18:00 - 19:00,2022-05-17,25.183333333333334,2022-05-17 18:00:00
26,07:00 - 08:00,2022-05-18,18.75,2022-05-18 07:00:00
135,08:00 - 09:00,2022-05-18,47.68333333333334,2022-05-18 08:00:00
425,15:00 - 16:00,2022-05-18,18.65,2022-05-18 15:00:00
545,16:00 - 17:00,2022-05-18,78.4,2022-05-18 16:00:00
747,17:00 - 18:00,2022-05-18,164.21666666666667,2022-05-18 17:00:00
925,18:00 - 19:00,2022-05-18,42.900000000000006,2022-05-18 18:00:00
27,07:00 - 08:00,2022-05-19,39.483333333333334,2022-05-19 07:00:00
136,08:00 - 09:00,2022-05-19,160.51666666666665,2022-05-19 08:00:00
237,09:00 - 10:00,2022-05-19,87.55,2022-05-19 09:00:00
295,10:00 - 11:00,2022-05-19,3.1166666666666667,2022-05-19 10:00:00
373,14:00 - 15:00,2022-05-19,33.18333333333334,2022-05-19 14:00:00
426,15:00 - 16:00,2022-05-19,66.38333333333334,2022-05-19 15:00:00
546,16:00 - 17:00,2022-05-19,188.35,2022-05-19 16:00:00
748,17:00 - 18:00,2022-05-19,163.5,2022-05-19 17:00:00
926,18:00 - 19:00,2022-05-19,35.333333333333336,2022-05-19 18:00:00
296,10:00 - 11:00,2022-05-20,37.53333333333333,2022-05-20 10:00:00
312,11:00 - 12:00,2022-05-20,34.66666666666667,2022-05-20 11:00:00
323,12:00 - 13:00,2022-05-20,16.55,2022-05-20 12:00:00
374,14:00 - 15:00,2022-05-20,21.55,2022-05-20 14:00:00
427,15:00 - 16:00,2022-05-20,24.083333333333336,2022-05-20 15:00:00
547,16:00 - 17:00,2022-05-20,0.5166666666666667,2022-05-20 16:00:00
749,17:00 - 18:00,2022-05-20,9.6,2022-05-20 17:00:00
927,18:00 - 19:00,2022-05-20,0.06666666666666667,2022-05-20 18:00:00
28,07:00 - 08:00,2022-05-23,14.833333333333332,2022-05-23 07:00:00
137,08:00 - 09:00,2022-05-23,12.716666666666667,2022-05-23 08:00:00
313,11:00 - 12:00,2022-05-23,22.55,2022-05-23 11:00:00
324,12:00 - 13:00,2022-05-23,14.0,2022-05-23 12:00:00
428,15:00 - 16:00,2022-05-23,5.516666666666667,2022-05-23 15:00:00
548,16:00 - 17:00,2022-05-23,29.583333333333336,2022-05-23 16:00:00
750,17:00 - 18:00,2022-05-23,105.76666666666667,2022-05-23 17:00:00
928,18:00 - 19:00,2022-05-23,20.55,2022-05-23 18:00:00
29,07:00 - 08:00,2022-05-24,32.11666666666667,2022-05-24 07:00:00
138,08:00 - 09:00,2022-05-24,112.86666666666667,2022-05-24 08:00:00
549,16:00 - 17:00,2022-05-24,53.2,2022-05-24 16:00:00
751,17:00 - 18:00,2022-05-24,166.53333333333333,2022-05-24 17:00:00
929,18:00 - 19:00,2022-05-24,64.66666666666667,2022-05-24 18:00:00
30,07:00 - 08:00,2022-05-25,7.616666666666666,2022-05-25 07:00:00
139,08:00 - 09:00,2022-05-25,7.583333333333333,2022-05-25 08:00:00
375,14:00 - 15:00,2022-05-25,21.2,2022-05-25 14:00:00
429,15:00 - 16:00,2022-05-25,54.45,2022-05-25 15:00:00
550,16:00 - 17:00,2022-05-25,145.01666666666668,2022-05-25 16:00:00
752,17:00 - 18:00,2022-05-25,184.08333333333334,2022-05-25 17:00:00
930,18:00 - 19:00,2022-05-25,105.80000000000001,2022-05-25 18:00:00
1033,19:00 - 20:00,2022-05-25,14.7,2022-05-25 19:00:00
31,07:00 - 08:00,2022-05-30,13.299999999999999,2022-05-30 07:00:00
140,08:00 - 09:00,2022-05-30,40.85,2022-05-30 08:00:00
238,09:00 - 10:00,2022-05-30,11.55,2022-05-30 09:00:00
551,16:00 - 17:00,2022-05-30,20.666666666666664,2022-05-30 16:00:00
753,17:00 - 18:00,2022-05-30,44.65,2022-05-30 17:00:00
32,07:00 - 08:00,2022-05-31,18.733333333333334,2022-05-31 07:00:00
141,08:00 - 09:00,2022-05-31,84.05,2022-05-31 08:00:00
239,09:00 - 10:00,2022-05-31,10.533333333333333,2022-05-31 09:00:00
552,16:00 - 17:00,2022-05-31,38.56666666666667,2022-05-31 16:00:00
754,17:00 - 18:00,2022-05-31,102.93333333333334,2022-05-31 17:00:00
931,18:00 - 19:00,2022-05-31,1.5333333333333334,2022-05-31 18:00:00
33,07:00 - 08:00,2022-06-01,10.7,2022-06-01 07:00:00
142,08:00 - 09:00,2022-06-01,6.65,2022-06-01 08:00:00
240,09:00 - 10:00,2022-06-01,41.15,2022-06-01 09:00:00
553,16:00 - 17:00,2022-06-01,44.233333333333334,2022-06-01 16:00:00
755,17:00 - 18:00,2022-06-01,64.11666666666667,2022-06-01 17:00:00
932,18:00 - 19:00,2022-06-01,39.55,2022-06-01 18:00:00
34,07:00 - 08:00,2022-06-02,11.55,2022-06-02 07:00:00
143,08:00 - 09:00,2022-06-02,71.65,2022-06-02 08:00:00
241,09:00 - 10:00,2022-06-02,4.033333333333333,2022-06-02 09:00:00
554,16:00 - 17:00,2022-06-02,70.58333333333333,2022-06-02 16:00:00
756,17:00 - 18:00,2022-06-02,186.01666666666668,2022-06-02 17:00:00
933,18:00 - 19:00,2022-06-02,55.46666666666667,2022-06-02 18:00:00
376,14:00 - 15:00,2022-06-03,24.583333333333332,2022-06-03 14:00:00
430,15:00 - 16:00,2022-06-03,81.61666666666666,2022-06-03 15:00:00
555,16:00 - 17:00,2022-06-03,82.58333333333333,2022-06-03 16:00:00
757,17:00 - 18:00,2022-06-03,68.55,2022-06-03 17:00:00
934,18:00 - 19:00,2022-06-03,38.0,2022-06-03 18:00:00
35,07:00 - 08:00,2022-06-07,24.983333333333334,2022-06-07 07:00:00
144,08:00 - 09:00,2022-06-07,141.46666666666667,2022-06-07 08:00:00
242,09:00 - 10:00,2022-06-07,115.56666666666666,2022-06-07 09:00:00
297,10:00 - 11:00,2022-06-07,17.25,2022-06-07 10:00:00
340,13:00 - 14:00,2022-06-07,46.53333333333333,2022-06-07 13:00:00
377,14:00 - 15:00,2022-06-07,18.85,2022-06-07 14:00:00
556,16:00 - 17:00,2022-06-07,45.7,2022-06-07 16:00:00
758,17:00 - 18:00,2022-06-07,80.4,2022-06-07 17:00:00
