NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Route
3720849,2023-09-18,2023-09-18,17:12:30,17:14:00,3300.0,2200000.0,"1,500",111.9,109.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3722861,2023-09-19,2023-09-19,16:43:30,16:56:00,39075.0,3126000.0,"12,500",108.3,105.9,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3723926,2023-09-20,2023-09-20,08:13:28,08:19:00,13655.0,2468000.0,"5,533",154.4,152.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3724583,2023-09-20,2023-09-20,16:54:30,17:00:05,14320.0,2565000.0,"5,583",113.8,111.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3725898,2023-09-21,2023-09-21,08:52:29,09:08:01,48318.0,3111000.0,"15,533",140.1,137.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3725938,2023-09-21,2023-09-21,08:56:29,08:59:01,5523.0,2180000.0,"2,533",133.7,131.5,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3724612,2023-09-20,2023-09-20,17:01:30,17:03:00,3000.0,2000000.0,"1,500",134.9,132.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3721817,2023-09-19,2023-09-19,07:58:28,08:04:00,17032.0,3078000.0,"5,533",156.3,152.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723856,2023-09-20,2023-09-20,07:59:28,08:02:00,5320.0,2100000.0,"2,533",157.7,155.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3725141,2023-09-21,2023-09-21,07:30:25,07:44:00,44467.0,3274000.0,"13,583",139.5,137.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3720691,2023-09-18,2023-09-18,16:52:29,16:57:00,11017.0,2439000.0,"4,517",139.6,137.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3720942,2023-09-18,2023-09-18,17:21:30,18:05:03,180723.0,4150000.0,"43,550",139.8,137.8,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3721258,2023-09-18,2023-09-18,17:55:30,18:23:18,79523.0,2861000.0,"27,800",156.5,154.5,A,50,A50,ascending,Oss,Arnhem,Accident(s),E-A
3721575,2023-09-19,2023-09-19,07:20:26,07:37:00,38535.0,2326000.0,"16,567",136.8,134.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723123,2023-09-19,2023-09-19,17:15:31,17:23:00,22857.0,3054000.0,"7,483",135.5,132.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723937,2023-09-20,2023-09-20,08:16:28,08:18:00,4293.0,2800000.0,"1,533",139.4,136.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3724530,2023-09-20,2023-09-20,16:41:30,16:45:03,13915.0,3920000.0,"3,550",138.5,135.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3724670,2023-09-20,2023-09-20,17:13:30,17:21:01,17958.0,2389000.0,"7,517",135.8,133.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3725570,2023-09-21,2023-09-21,08:21:29,08:26:00,10730.0,2376000.0,"4,517",159.6,157.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723124,2023-09-19,2023-09-19,17:15:31,17:48:00,143763.0,4426000.0,"32,483",139.4,137.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3725291,2023-09-21,2023-09-21,07:52:28,07:54:00,5213.0,3400000.0,"1,533",137.4,134.0,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3724623,2023-09-20,2023-09-20,17:04:30,17:08:00,7192.0,2055000.0,"3,500",139.2,137.2,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3723948,2023-09-20,2023-09-20,08:18:29,08:21:00,9153.0,3637000.0,"2,517",139.1,135.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
