NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Month,route
2979612,2022-04-07,2022-04-07,16:35:28,17:02:00,86817.0,3272000.0,"26,533",117.4,115.0,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2979802,2022-04-07,2022-04-07,17:05:28,17:11:00,15025.0,2715000.0,"5,533",106.7,104.6,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2981110,2022-04-08,2022-04-08,16:39:30,16:46:02,18243.0,2792000.0,"6,533",135.4,132.8,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2981352,2022-04-08,2022-04-08,17:31:29,17:35:02,8265.0,2328000.0,"3,550",135.6,133.2,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2982332,2022-04-11,2022-04-11,08:32:28,08:35:02,5800.0,2260000.0,"2,567",134.4,132.0,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2982405,2022-04-11,2022-04-11,08:59:27,09:01:00,3100.0,2000000.0,"1,550",160.2,158.2,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2983135,2022-04-11,2022-04-11,17:32:29,17:34:02,4185.0,2700000.0,"1,550",115.2,112.5,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2983624,2022-04-12,2022-04-12,07:49:27,07:56:00,14125.0,2156000.0,"6,550",135.3,133.1,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2979144,2022-04-07,2022-04-07,10:01:27,10:12:00,24123.0,2287000.0,"10,550",139.6,137.4,A,50,A50,ascending,Oss,Arnhem,traffic jam outside rush hour (no cause reported),1,E-A
2981208,2022-04-08,2022-04-08,16:58:28,17:10:01,28905.0,2503000.0,"11,550",136.4,134.3,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2985580,2022-04-12,2022-04-12,18:21:28,18:29:00,21745.0,2887000.0,"7,533",136.0,133.9,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2985646,2022-04-12,2022-04-12,18:44:28,18:49:00,12640.0,2788000.0,"4,533",134.9,131.9,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2978568,2022-04-07,2022-04-07,08:25:28,08:30:03,12175.0,2656000.0,"4,583",159.6,157.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2978662,2022-04-07,2022-04-07,08:36:29,08:38:01,3373.0,2200000.0,"1,533",139.6,137.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2978852,2022-04-07,2022-04-07,08:57:28,09:00:04,7460.0,2869000.0,"2,600",150.9,148.0,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2978853,2022-04-07,2022-04-07,08:57:28,09:02:04,10613.0,2307000.0,"4,600",137.8,135.7,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2979812,2022-04-07,2022-04-07,17:08:29,17:10:02,3720.0,2400000.0,"1,550",112.9,110.5,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2979910,2022-04-07,2022-04-07,17:22:29,17:40:02,65405.0,3727000.0,"17,550",139.7,137.7,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2981176,2022-04-08,2022-04-08,16:51:29,16:53:01,3373.0,2200000.0,"1,533",139.7,137.5,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2982413,2022-04-11,2022-04-11,09:03:27,09:09:00,17867.0,3219000.0,"5,550",159.8,156.7,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2982974,2022-04-11,2022-04-11,17:09:30,17:11:00,3900.0,2600000.0,"1,500",139.6,137.0,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2983052,2022-04-11,2022-04-11,17:22:29,17:24:00,3185.0,2100000.0,"1,517",135.0,132.9,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2983149,2022-04-11,2022-04-11,17:34:29,17:36:00,3943.0,2600000.0,"1,517",114.7,112.1,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2984071,2022-04-12,2022-04-12,08:46:28,08:54:00,18230.0,2420000.0,"7,533",96.2,93.9,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
